aX,aY,aZ,gX,gY,gZ
0.765,0.073,0.651,-0.061,0.061,0.244
0.764,0.072,0.657,-0.305,0.183,-0.793
0.760,0.063,0.657,0.000,-0.122,-0.793
0.754,0.058,0.656,0.061,0.061,-0.488
0.757,0.060,0.657,-0.183,0.427,0.488
0.761,0.066,0.651,0.122,0.488,0.793
0.764,0.069,0.651,0.122,0.183,0.183
0.762,0.068,0.651,0.366,-0.244,0.061
0.765,0.071,0.655,0.061,-0.122,0.000
0.763,0.071,0.656,0.305,-0.305,-0.427
0.761,0.068,0.661,-0.366,0.183,-0.061
0.762,0.065,0.655,0.305,0.366,-0.488
0.758,0.061,0.653,0.488,-0.305,0.061
0.761,0.062,0.652,0.366,0.061,0.427
0.758,0.062,0.647,0.366,-0.183,0.366
0.761,0.067,0.654,0.366,-0.977,1.221
0.766,0.075,0.660,0.305,-0.427,0.183
0.760,0.071,0.660,0.427,-0.305,0.000
0.763,0.072,0.661,0.183,0.122,0.183
0.765,0.073,0.652,0.183,0.671,-0.488
0.761,0.067,0.649,-0.061,0.305,-0.610
0.758,0.061,0.647,0.061,-0.183,-0.671
0.758,0.063,0.655,0.000,-0.427,0.183
0.763,0.068,0.661,0.122,-0.244,-0.122
0.757,0.063,0.656,0.000,-0.122,-0.183
0.761,0.068,0.651,0.366,-0.427,0.427
0.761,0.067,0.651,0.183,-0.183,0.061
0.762,0.070,0.659,0.061,-0.183,0.000
0.759,0.067,0.657,0.061,-0.366,-0.061
0.759,0.067,0.661,0.732,-0.549,0.183
0.762,0.068,0.654,0.061,0.366,-0.183
0.758,0.064,0.648,0.061,0.366,-0.183
0.757,0.063,0.653,0.305,-0.244,0.488
0.758,0.064,0.658,0.488,-0.549,0.244
0.760,0.066,0.659,0.122,-0.122,0.183
0.760,0.070,0.657,0.427,-0.305,0.305
0.762,0.073,0.656,0.732,-0.122,-0.244
0.764,0.071,0.658,-0.244,0.305,-0.610
0.759,0.066,0.655,-0.183,0.061,-0.244
0.758,0.065,0.661,-0.244,0.244,-0.305
0.759,0.065,0.659,0.000,0.305,-0.488
0.755,0.058,0.657,0.366,0.305,-0.244
0.755,0.059,0.652,-0.183,0.305,0.732
0.763,0.070,0.653,-0.061,0.305,0.732
0.765,0.073,0.657,0.244,-0.061,0.061
0.763,0.073,0.660,-0.122,0.122,-0.305
0.761,0.069,0.659,0.122,0.427,-0.366
0.759,0.068,0.650,-0.610,1.038,-0.244
0.759,0.065,0.652,-0.244,0.549,-0.427
0.758,0.059,0.656,0.122,-0.183,-0.610
0.758,0.058,0.655,-0.061,-0.549,0.366
0.759,0.066,0.653,0.488,-0.732,1.160
0.761,0.068,0.654,-0.061,-0.427,0.977
0.761,0.069,0.658,0.061,-0.122,0.916
0.762,0.074,0.660,-0.183,1.282,0.427
0.763,0.073,0.663,-0.122,0.977,-0.183
0.763,0.072,0.653,0.061,0.916,-0.366
0.759,0.068,0.649,-0.244,0.671,-0.305
0.758,0.062,0.654,0.122,0.427,-0.549
0.759,0.063,0.653,0.061,0.488,-0.122
0.758,0.064,0.652,0.000,0.244,0.183
0.763,0.068,0.654,-0.061,0.671,0.244
0.766,0.073,0.649,0.183,0.244,0.061
0.763,0.071,0.653,-0.061,-0.244,-0.427
0.761,0.066,0.658,-0.305,0.366,-0.366
0.760,0.066,0.659,-0.061,0.427,0.183
0.760,0.066,0.658,0.305,0.732,0.061
0.763,0.066,0.648,0.122,0.793,0.183
0.763,0.071,0.642,0.061,0.061,0.183
0.762,0.066,0.652,0.000,-0.305,0.061
0.765,0.073,0.654,0.366,-0.183,-0.183
0.762,0.069,0.660,-0.244,0.122,-0.366
0.762,0.069,0.659,0.244,0.244,0.061
0.763,0.069,0.655,0.061,0.671,-0.061
0.762,0.069,0.651,-0.244,0.793,-0.244
0.763,0.068,0.646,-0.061,0.183,-0.427
0.761,0.064,0.648,-0.183,0.000,-0.244
0.760,0.065,0.652,-0.122,-0.061,-0.305
0.760,0.065,0.659,0.183,-0.244,0.000
0.763,0.071,0.657,0.000,0.244,0.488
0.761,0.069,0.656,0.427,0.122,0.061

0.761,0.062,0.651,0.061,0.610,0.061
0.764,0.068,0.644,0.549,0.366,0.488
